road,id,model_type,name,lat,lon,length
N1,LRP365a,bridge,bridge 379,21.4655415307901,92.1026566882833,14.0
N1,LRP367a,bridge,bridge 380,21.4505569351351,92.0994681432432,9.2
N1,LRP368a,bridge,bridge 381,21.4433865625,92.1012678785714,1.5
N1,LRP368c,bridge,bridge 382,21.4418389714285,92.1007083571428,58.6
N1,LRP369a,bridge,bridge 383,21.4372009552325,92.0983672723837,3.0
N1,LRP369b,bridge,bridge 384,21.4342084624161,92.0972607067114,2.5
N1,LRP369c,bridge,bridge 385,21.4308087593886,92.0961182921397,7.2
N1,LRP370a,bridge,bridge 386,21.4288400316455,92.0953913860759,3.5
N1,LRP370c,bridge,bridge 387,21.4283515971831,92.0940714267605,12.8
N1,LRP370e,bridge,bridge 388,21.427895984,92.089450816,18.8
N1,LRP371a,bridge,bridge 389,21.4271063768115,92.0840258231884,8.2
N1,LRP371c,bridge,bridge 390,21.4267747132812,92.0804427367187,7.4
N1,LRP372a,bridge,bridge 391,21.4264716,92.0767771,12.4
N1,LRP372c,bridge,bridge 392,21.4273654498084,92.0708934808429,9.4
N1,LRP373a,bridge,bridge 393,21.4271759977099,92.0634431893129,2.0
N1,LRP373b,bridge,bridge 394,21.4273089357414,92.0610656669201,6.8
N1,LRP374a,bridge,bridge 395,21.4278354522255,92.0579673860534,16.6
N1,LRP374c,bridge,bridge 396,21.4280296848739,92.0557570361344,18.6
N1,LRP374e,bridge,bridge 397,21.4280584948275,92.0532281715517,7.2
N1,LRP375a,bridge,bridge 398,21.4275245,92.0486482172786,13.0
N1,LRP375c,bridge,bridge 399,21.4294452102564,92.0443807192307,10.9
N1,LRP376a,bridge,bridge 400,21.4297884,92.0395945696,9.2
N1,LRP377a,bridge,bridge 401,21.4294033629834,92.0318887491712,136.3
N1,LRP377c,bridge,bridge 402,21.4303257834586,92.0296206984962,3.5
N1,LRP377d,bridge,bridge 403,21.4301539217391,92.0283434956521,10.3
N1,LRP377f,bridge,bridge 404,21.426498621044,92.0238834076672,9.0
N1,LRP378a,bridge,bridge 405,21.423063061512,92.0267879589347,4.5
N1,LRP378b,bridge,bridge 406,21.4226721680412,92.0272924520618,11.3
N1,LRP379a,bridge,bridge 407,21.4194017834586,92.031682906015,2.4
N1,LRP379b,bridge,bridge 408,21.4170232427616,92.0347260730512,7.2
N1,LRP379c,bridge,bridge 409,21.4161167631868,92.0359357093406,8.1
N1,LRP380a,bridge,bridge 410,21.4142599314893,92.0386736859574,10.9
N1,LRP380c,bridge,bridge 411,21.4124968430517,92.0395268517711,8.3
N1,LRP380e,bridge,bridge 412,21.4110029325153,92.0443379558282,8.3
N1,LRP381a,bridge,bridge 413,21.4102488567901,92.0480366814814,2.2
N1,LRP381b,bridge,bridge 414,21.4102981858461,92.0496622239999,8.2
N1,LRP381c,bridge,bridge 415,21.4099236838827,92.0518884435897,1.9
N1,LRP382a,bridge,bridge 416,21.4088399161904,92.0550238095238,3.0
N1,LRP382b,bridge,bridge 417,21.4079574071005,92.0560124923076,2.8
N1,LRP382c,bridge,bridge 418,21.4063607143344,92.0580467784983,10.0
N1,LRP383a,bridge,bridge 419,21.4041499171641,92.0618387037313,1.6
N1,LRP383b,bridge,bridge 420,21.402009374844,92.0647406251559,3.6
N1,LRP383c,bridge,bridge 421,21.4001878992395,92.0660829174905,8.0
N1,LRP383d,bridge,bridge 422,21.3987858977186,92.0665265524714,1.3
N1,LRP384a,bridge,bridge 423,21.3950144227586,92.0675884137931,8.3
N1,LRP384b,bridge,bridge 424,21.3908555107438,92.0684757008264,22.0
N1,LRP385a,bridge,bridge 425,21.3888052,92.0689623,2.7
N1,LRP385b,bridge,bridge 426,21.3874538459459,92.0697162891891,2.7
N1,LRP385c,bridge,bridge 427,21.386218603409,92.0702884892045,2.9
N1,LRP385d,bridge,bridge 428,21.3856411333333,92.0704543196078,1.8
N1,LRP385e,bridge,bridge 429,21.3844064618421,92.0705223447368,2.8
N1,LRP385f,bridge,bridge 430,21.3831050828947,92.0708809157894,1.8
N1,LRP385g,bridge,bridge 431,21.3829076671052,92.0709510842105,1.7
N1,LRP386a,bridge,bridge 432,21.3808422435754,92.0709982664804,0.8
N1,LRP386b,bridge,bridge 433,21.3796187798882,92.0706130385474,1.5
N1,LRP386c,bridge,bridge 434,21.3793128,92.0704913857142,1.5
N1,LRP386d,bridge,bridge 435,21.3778510915584,92.0703548240259,2.2
N1,LRP386e,bridge,bridge 436,21.3768882285714,92.0711223285714,1.5
N1,LRP386f,bridge,bridge 437,21.3762792890109,92.0717458313186,3.0
N1,LRP386g,bridge,bridge 438,21.3750850565217,92.0730282999999,2.4
N1,LRP387a,bridge,bridge 439,21.3745372352601,92.0740615132948,1.3
N1,LRP387b,bridge,bridge 440,21.3743800190751,92.0748617416184,1.3
N1,LRP387c,bridge,bridge 441,21.3737957588607,92.0766236613924,1.3
N1,LRP387d,bridge,bridge 442,21.3724168458515,92.0778930973799,1.3
N1,LRP387e,bridge,bridge 443,21.3706902708737,92.0790672786407,1.3
